int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
115,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.8243673432168069,43629744.63211522,23116.499999999716,6561.9630545547625,0.9862172661584232,0.28386490405359127
116,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.5304578786079637,44205385.907521516,23549.166666666417,6567.125869947369,0.9869932012924443,0.27886871594666923
117,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.6191483082013391,38275862.32121156,18987.833333333212,6580.584994897672,0.989016013872006,0.34656850412445056
118,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.6332323240507083,33905521.282095656,15825.33333333326,6463.398055358394,0.9714036344390435,0.4084209740937584
119,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.725088794114496,40332303.72746176,20610.333333333092,6550.061035039472,0.9844284756622641,0.31780471131177956
120,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.6709090723600082,37769466.20686744,16804.33333333322,7725.170102587215,0.9871422631070349,0.45971297696550106
121,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.7065559060995407,44177277.730906576,21563.666666666402,7818.933982873311,0.9991236548115767,0.36259760938337976
122,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.6305196474402364,40467781.19040921,18712.833333333154,7825.616165809292,0.9999775214706048,0.4181951512318302
123,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.592362525707156,40403494.63470624,18663.333333333147,7825.792078106544,0.9999999999999979,0.4193137387804941
124,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.513187708563657,44241610.9680393,21602.166666666366,7825.792078106548,0.9999999999999983,0.36226885010485016
125,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.7184805553317634,45287574.19040886,22403.333333333005,7825.616165809294,0.999977521470605,0.3493058845027262
126,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.6505386971015388,39275763.63470643,17799.833333333194,7825.792078106548,0.9999999999999983,0.43965535696626046
127,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.6263595900230565,39889510.77807184,18454.333333333187,7708.159156371771,0.9849685602989787,0.4176883020991546
128,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.5486301038650506,42872052.301372826,20553.499999999774,7825.792078106548,0.9999999999999983,0.380752284433631
129,date ('2024-01-01 23:55:00'),50,30,6,10,180,0,true,false,0.5688549546926657,36390591.968040064,15590.666666666597,7825.79207810655,0.9999999999999987,0.5019536524912289
130,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.7098508711109521,41607500.19509923,19554.3333333332,7845.489276931731,0.9969044814178538,0.4012148684996565
131,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.5627845690558152,39168750.238582425,17704.49999999988,7834.3288947045285,0.995486362717552,0.4425049504196437
132,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.6044081148412376,42076789.5284322,19913.666666666442,7845.489276931724,0.9969044814178528,0.3939751231280936
133,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.6101008252527117,37871021.571915925,16710.833333333238,7834.328894704528,0.9954863627175518,0.4688173676579806
134,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.7539608861971516,40268751.39671334,18723.833333333194,7721.469853610183,0.9811456785531761,0.4123872348224762
