int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
225,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,3428.3333333333335,-7255930.0
226,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,3993.0,-6518475.333333334
227,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,8193.166666666666,-1033057.6666666684
228,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,7320.499999999999,-2172760.3333333367
229,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,6612.833333333333,-3096973.000000005
230,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,3195.5,-8293343.666666666
231,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,7018.0,-3301158.6666666633
232,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,5969.333333333334,-4670717.333333332
233,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,4134.166666666667,-7067445.0
234,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,6957.5,-3380171.6666666633
235,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,3146.0,-8357990.666666666
236,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,10325.333333333334,1018218.6666666684
237,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,5001.333333333334,-5934925.333333332
238,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,6816.333333333333,-3564535.3333333316
239,date ('2023-11-01 23:55:00'),10,30,8,26,true,false,1.0,4517.333333333334,-6567029.333333332
240,date ('2023-11-01 23:55:00'),10,30,8,28,true,false,1.0,4288.166666666666,-7599654.333333334
241,date ('2023-11-01 23:55:00'),10,30,8,28,true,false,1.0,8037.333333333334,-2703242.6666666633
